56,Bamboo Cotton Tank Top,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",499.85,499.85,49,52,52
57,Frozen Burritos,Easy-to-heat frozen burritos for a quick meal.,400.97,400.97,10,52,52
58,Pomegranate Juice,"Fresh pomegranate juice, rich in antioxidants.",508.08,508.08,53,16,16
59,Eco-Friendly Stainless Steel Straws,Reusable straws that come with a cleaning brush.,485.69,485.69,44,70,70
60,Ceramic Cookware Set,Durable and non-stick ceramic cookware for healthy cooking.,382.58,382.58,3,39,39
61,Chocolate Mint Protein Shake,A nutritious shake with rich chocolate and refreshing mint flavors.,377.28,377.28,0,76,76
62,Sous Vide Cooker,Precision cooker for perfect sous vide cooking.,613.50,613.50,95,71,71
63,Roasted Garlic,Savory roasted garlic in a jar for easy use.,511.87,511.87,54,72,72
64,Sliced Turkey Breast,"Oven-roasted sliced turkey, perfect for sandwiches.",530.99,530.99,62,82,82
65,Electric Fondue Pot,Set for making fondue at home.,432.85,432.85,23,31,31
66,Mango Chia Pudding,Healthy chia pudding made with mango and coconut milk.,430.94,430.94,22,79,79
67,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,587.58,587.58,85,76,76
68,High-Waisted Skirt,"Chic high-waisted skirt, perfect for professional or casual settings.",430.44,430.44,22,60,60
69,Snack Container Set,Stackable containers for organizing snacks and treats.,503.13,503.13,51,99,99
70,Vanilla Protein Powder,A high-quality protein powder perfect for smoothies and baking.,503.38,503.38,51,99,99
71,Savory Pumpkin Soup,Creamy pumpkin soup with spices,412.89,412.89,15,5,5
72,Cauliflower Pizza Crust,Healthy pizza crust made from cauliflower,547.59,547.59,69,39,39
73,Coconut Oil Spray,A zero-calorie coconut oil spray for cooking and baking.,564.69,564.69,75,53,53
74,Car Windshield Sun Shade,Protects car interior from sun damage and heat.,612.46,612.46,94,28,28
75,Electric Air Pump,Fast and convenient air pump for inflating toys and furniture.,471.61,471.61,38,48,48
76,Ginger Turmeric Latte Mix,A warming blend of ginger and turmeric for lattes.,564.10,564.10,75,52,52
77,Sweet and Spicy Barbecue Sauce,A flavorful barbecue sauce with a sweet and spicy kick.,550.33,550.33,70,51,51
78,Organic Honeycrisp Apples,"Sweet and crisp apples, perfect for snacking.",552.67,552.67,71,67,67
79,Coconut Macaroons,"Chewy cookies made with coconut, perfect for sweet cravings.",578.41,578.41,81,39,39
80,Faux Fur Coat,A luxurious faux fur coat that adds glamour to any outfit.,464.83,464.83,35,74,74
81,Air Mattress,Inflatable air mattress for convenient sleeping.,451.37,451.37,30,71,71
82,Over-the-Door Hooks,Convenient hooks that utilize door space for hanging items.,570.21,570.21,78,68,68
83,Flavored Instant Oatmeal,Quick oatmeal with various flavors,562.80,562.80,75,18,18
84,Low-Fat Yogurt,"Creamy yogurt with probiotics, available in various flavors.",529.72,529.72,61,2,2
85,Magnetic Whiteboard,Reusable whiteboard for notes and reminders with magnetic backing.,523.32,523.32,59,92,92
86,Maple Syrup,Pure maple syrup for pancakes and more.,620.53,620.53,98,27,27
87,Sliced Ham,"Delicious and fully cooked sliced ham, ready to eat.",499.60,499.60,49,65,65
88,Casual Sneakers,Versatile canvas sneakers suitable for everyday wear with a comfortable fit.,620.12,620.12,98,97,97
89,Mayonnaise,"Creamy mayonnaise, perfect for salads and sandwiches.",386.17,386.17,4,78,78
90,Cinnamon Roll Dough,Ready-to-bake cinnamon roll dough for easy breakfasts.,470.91,470.91,38,85,85
91,Self-Massaging Pillow,Comfortable pillow with built-in massage features.,549.68,549.68,69,72,72
92,Tactical Backpack,Durable and versatile backpack for outdoor and travel use.,506.80,506.80,52,33,33
93,Smoked Gouda Cheese,Rich and creamy smoked Gouda cheese perfect for snacking.,443.25,443.25,27,11,11
94,Lemon Lime Sparkling Water,Refreshing sparkling water with lemon and lime flavor,494.39,494.39,47,59,59
95,Ethically-Sourced Coffee Beans,Freshly roasted coffee beans with rich flavor.,503.01,503.01,51,2,2
96,Art Supplies Organizer,Storage organizer for art supplies and tools.,612.27,612.27,94,46,46
97,Video Camera,1080p HD video camera with night vision.,500.73,500.73,50,54,54
98,Maple Breakfast Sausage,Savory sausage links with a hint of maple flavor.,540.56,540.56,66,74,74
99,Silicone Baking Molds,Set of flexible molds for baking cakes and pastries.,470.75,470.75,38,16,16
100,Organic Cucumber,Fresh organic cucumber perfect for salads or snacking.,442.30,442.30,26,31,31
